#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
92.0,Albania,14117,,392.0,,8536.0,,5189.0,23.0,4907.0,136.0,86747.0,30152.0,2876974.0,Europe,204.0,7339.0,33.0
93.0,Sudan,13653,,836.0,,6764.0,,6053.0,,310.0,19.0,,,44106209.0,Africa,3231.0,52759.0,
94.0,Slovakia,13139,818.0,55.0,1.0,4828.0,35.0,8256.0,37.0,2406.0,10.0,492902.0,90270.0,5460333.0,Europe,416.0,99279.0,11.0
95.0,Malaysia,12088,,137.0,,10216.0,,1735.0,33.0,372.0,4.0,1581208.0,48694.0,32472086.0,Asia,2686.0,237023.0,21.0
96.0,Montenegro,11934,,174.0,,7803.0,,3957.0,17.0,19001.0,277.0,70925.0,112922.0,628087.0,Europe,53.0,3610.0,9.0
97.0,Namibia,11572,,123.0,,9419.0,,2030.0,8.0,4533.0,48.0,102031.0,39972.0,2552566.0,Africa,221.0,20753.0,25.0
98.0,DRC,10752,,274.0,,10212.0,,266.0,,119.0,3.0,,,90235617.0,Africa,8392.0,329327.0,
99.0,Guinea,10735,,66.0,,10066.0,,603.0,24.0,812.0,5.0,33375.0,2524.0,13221560.0,Africa,1232.0,200327.0,396.0
100.0,Finland,10538,147.0,345.0,,8100.0,,2093.0,4.0,1901.0,62.0,1081369.0,195089.0,5542964.0,Europe,526.0,16067.0,5.0
101.0,Maldives,10465,,34.0,,9310.0,,1121.0,12.0,19274.0,63.0,149135.0,274671.0,542959.0,Asia,52.0,15969.0,4.0
102.0,French Guiana,10029,,67.0,,9665.0,,297.0,4.0,33361.0,223.0,67481.0,224476.0,300616.0,South America,30.0,4487.0,4.0
103.0,Tajikistan,9895,,77.0,,8707.0,,1111.0,,1032.0,8.0,,,9591498.0,Asia,969.0,124565.0,
104.0,Mozambique,9049,,64.0,,5736.0,,3249.0,,288.0,2.0,143281.0,4552.0,31473267.0,Africa,3478.0,491770.0,220.0
105.0,Haiti,8811,,229.0,,6949.0,,1633.0,,770.0,20.0,28702.0,2509.0,11438127.0,North America,1298.0,49948.0,399.0
106.0,Luxembourg,8797,,125.0,,7428.0,,1244.0,5.0,13995.0,199.0,849977.0,1352246.0,628567.0,Europe,71.0,5029.0,1.0
107.0,Gabon,8797,,54.0,,8067.0,,676.0,3.0,3929.0,24.0,180173.0,80474.0,2238909.0,Africa,255.0,41461.0,12.0
108.0,Uganda,8662,,79.0,,4546.0,,4037.0,,188.0,2.0,489264.0,10614.0,46097874.0,Africa,5322.0,583517.0,94.0
109.0,Georgia,8118,554.0,50.0,2.0,4244.0,252.0,3824.0,,2036.0,13.0,639816.0,160469.0,3987160.0,Asia,491.0,79743.0,6.0
110.0,Zimbabwe,7885,,228.0,,6327.0,,1330.0,,529.0,15.0,160162.0,10736.0,14918104.0,Africa,1892.0,65430.0,93.0
111.0,Mauritania,7517,,162.0,,7174.0,,181.0,3.0,1606.0,35.0,80775.0,17259.0,4680162.0,Africa,623.0,28890.0,58.0
112.0,Jamaica,6795,,119.0,,2345.0,,4331.0,15.0,2292.0,40.0,80055.0,27004.0,2964521.0,North America,436.0,24912.0,37.0
113.0,Slovenia,6330,,155.0,,4041.0,,2134.0,24.0,3045.0,75.0,234571.0,112828.0,2079013.0,Europe,328.0,13413.0,9.0
114.0,Cabo Verde,6296,,62.0,,5409.0,,825.0,,11293.0,111.0,76576.0,137347.0,557537.0,Africa,89.0,8993.0,7.0
115.0,Malawi,5783,,179.0,,4539.0,,1065.0,4.0,300.0,9.0,54246.0,2817.0,19253432.0,Africa,3329.0,107561.0,355.0
116.0,Cuba,5780,,122.0,,5118.0,,540.0,1.0,510.0,11.0,636163.0,56174.0,11324807.0,North America,1959.0,92826.0,18.0
117.0,Eswatini,5530,,111.0,,5076.0,,343.0,11.0,4754.0,95.0,32234.0,27710.0,1163250.0,Africa,210.0,10480.0,36.0
118.0,Guadeloupe,5528,,57.0,,2199.0,,3272.0,24.0,13815.0,142.0,55187.0,137919.0,400142.0,North America,72.0,7020.0,7.0
119.0,Djibouti,5418,,61.0,,5347.0,,10.0,,5464.0,62.0,77519.0,78171.0,991664.0,Africa,183.0,16257.0,13.0
120.0,Angola,5370,,193.0,,2436.0,,2741.0,15.0,162.0,6.0,85213.0,2573.0,33119075.0,Africa,6167.0,171601.0,389.0
121.0,Lithuania,5185,104.0,94.0,,2495.0,1.0,2596.0,,1912.0,35.0,799446.0,294765.0,2712148.0,Europe,523.0,28853.0,3.0
122.0,Nicaragua,5170,,151.0,,2913.0,,2106.0,,778.0,23.0,,,6644749.0,North America,1285.0,44005.0,
123.0,Hong Kong,5109,,105.0,,4849.0,,155.0,10.0,680.0,14.0,3311279.0,440759.0,7512668.0,Asia,1470.0,71549.0,2.0
124.0,Congo,5089,,89.0,,3887.0,,1113.0,,917.0,16.0,,,5552094.0,Africa,1091.0,62383.0,
125.0,Equatorial Guinea,5045,,83.0,,4879.0,,83.0,4.0,3567.0,59.0,60916.0,43070.0,1414344.0,Africa,280.0,17040.0,23.0
126.0,Suriname,4924,,106.0,,4723.0,,95.0,6.0,8374.0,180.0,14562.0,24766.0,587986.0,South America,119.0,5547.0,40.0
127.0,Rwanda,4852,,29.0,,3211.0,,1612.0,,372.0,2.0,502817.0,38582.0,13032580.0,Africa,2686.0,449399.0,26.0
128.0,CAR,4845,,62.0,,1914.0,,2869.0,2.0,999.0,13.0,32263.0,6651.0,4851075.0,Africa,1001.0,78243.0,150.0
129.0,Trinidad and Tobago,4715,,79.0,,2802.0,,1834.0,13.0,3366.0,56.0,32122.0,22933.0,1400666.0,North America,297.0,17730.0,44.0
130.0,Bahamas,4332,,96.0,,2375.0,,1861.0,79.0,10989.0,244.0,21173.0,53710.0,394211.0,North America,91.0,4106.0,19.0
131.0,Syria,4329,,204.0,,1143.0,,2982.0,,246.0,12.0,,,17607166.0,Asia,4067.0,86310.0,
132.0,Réunion,4178,,16.0,,3360.0,,802.0,17.0,4658.0,18.0,35419.0,39488.0,896963.0,Africa,215.0,56060.0,25.0
133.0,Aruba,4074,,30.0,,3474.0,,570.0,12.0,38116.0,281.0,32551.0,304545.0,106884.0,North America,26.0,3563.0,3.0
134.0,Mayotte,3779,,42.0,,2964.0,,773.0,2.0,13769.0,153.0,13000.0,47365.0,274465.0,Africa,73.0,6535.0,21.0
135.0,Estonia,3603,26.0,67.0,,2749.0,22.0,787.0,2.0,2716.0,50.0,220977.0,166553.0,1326768.0,Europe,368.0,19803.0,6.0
136.0,Somalia,3593,,99.0,,3001.0,,493.0,,225.0,6.0,,,16003549.0,Africa,4454.0,161652.0,
137.0,Gambia,3590,,115.0,,2226.0,,1249.0,,1475.0,47.0,17472.0,7180.0,2433555.0,Africa,678.0,21161.0,139.0
138.0,Thailand,3585,2.0,59.0,,3388.0,2.0,138.0,1.0,51.0,0.8,749213.0,10727.0,69845572.0,Asia,19483.0,1183823.0,93.0
139.0,Sri Lanka,3395,,13.0,,3254.0,,128.0,,158.0,0.6,289588.0,13509.0,21436557.0,Asia,6314.0,1648966.0,74.0
140.0,Malta,3204,,38.0,,2711.0,,455.0,,7251.0,86.0,260917.0,590512.0,441849.0,Europe,138.0,11628.0,2.0
141.0,Botswana,3172,,16.0,,710.0,,2446.0,1.0,1342.0,7.0,184076.0,77879.0,2363614.0,Africa,745.0,147726.0,13.0
142.0,Mali,3170,,131.0,,2476.0,,563.0,,155.0,6.0,55861.0,2739.0,20395711.0,Africa,6434.0,155692.0,365.0
143.0,Guyana,3005,,85.0,,1907.0,,1013.0,18.0,3816.0,108.0,14613.0,18555.0,787536.0,South America,262.0,9265.0,54.0
144.0,Iceland,2872,,10.0,,2212.0,,650.0,3.0,8402.0,29.0,285315.0,834703.0,341816.0,Europe,119.0,34182.0,1.0
145.0,South Sudan,2715,,50.0,,1290.0,,1375.0,,242.0,4.0,12044.0,1073.0,11227362.0,Africa,4135.0,224547.0,932.0
146.0,Guinea-Bissau,2362,,39.0,,1549.0,,774.0,5.0,1193.0,20.0,,,1979668.0,Africa,838.0,50761.0,
147.0,Benin,2357,,41.0,,1973.0,,343.0,,193.0,3.0,203831.0,16704.0,12202467.0,Africa,5177.0,297621.0,60.0
148.0,Sierra Leone,2259,,72.0,,1704.0,,483.0,,282.0,9.0,,,8017924.0,Africa,3549.0,111360.0,
149.0,Burkina Faso,2154,,59.0,,1397.0,,698.0,,102.0,3.0,,,21046022.0,Africa,9771.0,356712.0,
150.0,Belize,2131,51.0,29.0,1.0,1346.0,56.0,756.0,2.0,5335.0,73.0,15729.0,39376.0,399457.0,North America,187.0,13774.0,25.0
151.0,Uruguay,2122,,48.0,,1831.0,,243.0,2.0,610.0,14.0,245197.0,70523.0,3476859.0,South America,1638.0,72435.0,14.0
152.0,Andorra,2110,,53.0,,1540.0,,517.0,9.0,27297.0,686.0,137457.0,1778297.0,77297.0,Europe,37.0,1458.0,1.0
153.0,Latvia,2086,67.0,38.0,,1307.0,,741.0,3.0,1109.0,20.0,334829.0,178039.0,1880654.0,Europe,902.0,49491.0,6.0
154.0,Yemen,2041,,589.0,,1320.0,,132.0,,68.0,20.0,,,29991235.0,Asia,14694.0,50919.0,
155.0,French Polynesia,1964,,8.0,,1555.0,,401.0,11.0,6981.0,28.0,26355.0,93681.0,281328.0,Australia/Oceania,143.0,35166.0,11.0
156.0,New Zealand,1854,5.0,25.0,,1788.0,5.0,41.0,,371.0,5.0,979985.0,195915.0,5002100.0,Australia/Oceania,2698.0,200084.0,5.0
157.0,Togo,1840,,48.0,,1375.0,,417.0,,221.0,6.0,94445.0,11341.0,8327412.0,Africa,4526.0,173488.0,88.0
158.0,Cyprus,1811,,22.0,,1369.0,,420.0,1.0,1497.0,18.0,388298.0,321006.0,1209629.0,Asia,668.0,54983.0,3.0
159.0,Lesotho,1680,,39.0,,926.0,,715.0,,783.0,18.0,19169.0,8930.0,2146630.0,Africa,1278.0,55042.0,112.0
160.0,Martinique,1543,,21.0,,98.0,,1424.0,9.0,4113.0,56.0,36331.0,96834.0,375189.0,North America,243.0,17866.0,10.0
161.0,Liberia,1347,,82.0,,1221.0,,44.0,,265.0,16.0,,,5087507.0,Africa,3777.0,62043.0,
162.0,Chad,1214,,85.0,,1075.0,,54.0,,73.0,5.0,,,16542961.0,Africa,13627.0,194623.0,
163.0,Niger,1200,,69.0,,1115.0,,16.0,,49.0,3.0,25889.0,1060.0,24421139.0,Africa,20351.0,353930.0,943.0
164.0,Vietnam,1096,,35.0,,1020.0,,41.0,,11.0,0.4,1009145.0,10343.0,97564118.0,Asia,89018.0,2787546.0,97.0
165.0,Sao Tome and Principe,913,,15.0,,886.0,,12.0,,4146.0,68.0,5074.0,23044.0,220189.0,Africa,241.0,14679.0,43.0
166.0,San Marino,732,,42.0,,680.0,,10.0,3.0,21561.0,1237.0,7755.0,228424.0,33950.0,Europe,46.0,808.0,4.0
167.0,Diamond Princess,712,,13.0,,651.0,,48.0,4.0,,,,,,,,,
168.0,Turks and Caicos,695,,6.0,,651.0,,38.0,4.0,17889.0,154.0,3464.0,89161.0,38851.0,North America,56.0,6475.0,11.0
169.0,Channel Islands,678,,48.0,,600.0,,30.0,2.0,3890.0,275.0,123884.0,710849.0,174276.0,Europe,257.0,3631.0,1.0
170.0,Sint Maarten,678,4.0,22.0,,572.0,,84.0,6.0,15767.0,512.0,3794.0,88231.0,43001.0,North America,63.0,1955.0,11.0
171.0,Papua New Guinea,540,,7.0,,527.0,,6.0,,60.0,0.8,25955.0,2887.0,8989908.0,Australia/Oceania,16648.0,1284273.0,346.0
172.0,Taiwan,517,,7.0,,484.0,,26.0,,22.0,0.3,94566.0,3969.0,23828009.0,Asia,46089.0,3404001.0,252.0
173.0,Burundi,513,,1.0,,472.0,,40.0,,43.0,0.08,37522.0,3132.0,11978580.0,Africa,23350.0,11978580.0,319.0
174.0,Tanzania,509,,21.0,,183.0,,305.0,7.0,8.0,0.3,,,60157086.0,Africa,118187.0,2864623.0,
175.0,Comoros,487,,7.0,,466.0,,14.0,,557.0,8.0,,,874268.0,Africa,1795.0,124895.0,
176.0,Faeroe Islands,473,,,,432.0,,41.0,,9671.0,,133306.0,2725481.0,48911.0,Europe,103.0,,0.0
177.0,Curaçao,429,,1.0,,213.0,,215.0,2.0,2612.0,6.0,7895.0,48062.0,164267.0,North America,383.0,164267.0,21.0
178.0,Gibraltar,428,,,,358.0,,70.0,,12705.0,,48790.0,1448290.0,33688.0,Europe,79.0,,1.0
179.0,Saint Martin,412,,8.0,,309.0,,95.0,11.0,10610.0,206.0,5170.0,133134.0,38833.0,North America,94.0,4854.0,8.0
180.0,Eritrea,398,,,,358.0,,40.0,,112.0,,,,3558955.0,Africa,8942.0,,
